name_track,artist_track,uri_track,popularity,tempo,genres,urlImage,album
Grenade,Bruno Mars,spotify:track:4lLtanYk6tkMvooU0tWzG8,80,110.444,"dance pop, pop",https://i.scdn.co/image/ab67616d0000b273f60070dce96a2c1b70cf6ff0,Doo-Wops & Hooligans
Mariposa tecknicolor,Fito Paez,spotify:track:2RognU2ViRdA6HxnpAITJl,73,145.088,"argentine rock, latin alternative, latin rock, rock en espanol",https://i.scdn.co/image/ab67616d0000b27301760d9291c8a82283da1013,Circo Beat
Un Día Sin Sexo,Mar de Copas,spotify:track:5cmWOkiyVPPme4VeP9cZpR,0,179.765,peruvian rock,https://i.scdn.co/image/ab67616d0000b2733c7e23d7e2e8bd3595b5d72d,Lado B
Mariposa Traicionera,Maná,spotify:track:2USyvcBpPjhW0rgiD2R8Bp,62,101.143,"latin arena pop, latin pop, latin rock, mexican pop, mexican rock, rock en espanol",https://i.scdn.co/image/ab67616d0000b273a6d4f7bda7f961af32ee14eb,Six Pack: Maná - EP
Waiting For Love,Avicii,spotify:track:6nsLzJfvp5OLd4mgqUJkpq,0,128.081,"edm, pop, pop dance",https://i.scdn.co/image/ab67616d0000b273d40648f55cadd57796f22455,Stories
Hey Brother,Avicii,spotify:track:3zKST4nk4QJE77oLjUZ0Ng,4,125.014,"edm, pop, pop dance",https://i.scdn.co/image/ab67616d0000b273d20bacc84d203cc330a5df75,True
Cuando Me Enamoro,"Enrique Iglesias, Juan Luis Guerra 4.40",spotify:track:66ggIz6W6hlmlyezLBZDcn,0,126.026,"dance pop, latin pop, mexican pop",https://i.scdn.co/image/ab67616d0000b2735df00610cc25ab4b70b80070,Euphoria
El Perdedor,"Enrique Iglesias, Marco Antonio Solís",spotify:track:5kjciBkiwjjuFnsXFJpyRe,0,137.957,"dance pop, latin pop, mexican pop",https://i.scdn.co/image/ab67616d0000b27305508707e57117be6496c377,El Perdedor
Heroe,Enrique Iglesias,spotify:track:7DZSlMHGDr2a5EQn9bbdRb,0,76.032,"dance pop, latin pop, mexican pop",https://i.scdn.co/image/ab67616d0000b2738ca54093347f4fa001b65e17,UNO (95/08) [Regular USA]
Aléjate de Mí,Camila,spotify:track:15AbuFJdFrbINydSMSqVhV,72,145.772,"latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b273d46baecb11453061ea9fa795,Dejarte De Amar
Todo Cambió,Camila,spotify:track:4OyzSXRSadNQt5EMwASdap,77,173.85,"latin arena pop, latin pop",https://i.scdn.co/image/ab67616d0000b2737e0721f90f91d37de250788f,Todo Cambio
Tesoro Mio,Guillermo Davila,spotify:track:0hIAcAoJQDGYExXYVv3L4t,0,143.313,pop romantico,https://i.scdn.co/image/ab67616d0000b273878745cb5c8fb0d7d5b80cde,Tesoro Mío
Sin Pensarlo Dos Veces,Guillermo Davila,spotify:track:6HBqW8dfGC8TqJVqHVKNCZ,0,168.315,pop romantico,https://i.scdn.co/image/ab67616d0000b2730bd8fd8e58e2b2a7bd1431f7,Hit List
Si me tenías,Gian Marco,spotify:track:137butzvFqGMLAPxQhFN5S,0,146.877,peruvian rock,https://i.scdn.co/image/ab67616d0000b27392e8768fbe1bebd8ed130be1,Dias Nuevos
Me Ensañaste,Adammo,spotify:track:4OI7NVNiIEUUIFq5ZZy10s,0,199.66,pop peruano,https://i.scdn.co/image/ab67616d0000b27349df7f3c9f46687306787abc,Sin Miedo
Qué Voy a Hacer Con Mi Amor,Alejandro Fernández,spotify:track:5vDQ1ctvV9RXFlXyBn5Htz,0,165.772,"latin arena pop, latin pop, mariachi, mexican pop, musica mexicana, ranchera",https://i.scdn.co/image/ab67616d0000b2739157cebd7c9a93e4a2ea1bf6,Alejandro Fernandez 15 Años De Exitos
Si Tú Supieras,Alejandro Fernández,spotify:track:7872cFHghdtEzDf8vokfWh,0,87.104,"latin arena pop, latin pop, mariachi, mexican pop, musica mexicana, ranchera",https://i.scdn.co/image/ab67616d0000b2739157cebd7c9a93e4a2ea1bf6,Alejandro Fernandez 15 Años De Exitos
Apareces Tu,La Oreja de Van Gogh,spotify:track:6ws2Q4gtEfbIuaVZg61Q2i,46,172.072,"latin arena pop, latin pop, mexican pop, spanish pop, spanish pop rock",https://i.scdn.co/image/ab67616d0000b2738f1b20a025eae96fbe15cda3,Guapa
Firework,Katy Perry,spotify:track:4lCv7b86sLynZbXhfScfm2,73,124.072,pop,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616,Teenage Dream: The Complete Confection
California Gurls,"Katy Perry, Snoop Dogg",spotify:track:6tS3XVuOyu10897O3ae7bi,78,125.014,pop,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616,Teenage Dream: The Complete Confection
