name_track,artist_track,uri_track,popularity,tempo,genres
Otra Noche Sin Ti,J Balvin,spotify:track:2CdTLdDjwZdVcm0bresVWx,64,94,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Azul,J Balvin,spotify:track:2lCkncy6bIB0LTMT7kvrD1,73,94,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Tu Veneno,J Balvin,spotify:track:5KFHrrBMyGj5MhVbZMM3ts,56,176,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Sexo Virtual,Rauw Alejandro,spotify:track:0giiXonRhODYy4J1iy4Lb3,22,180,"pop, r&b en espanol"
La Luz,Sech,spotify:track:5zj8WNkBrEzlI5FKeYV4ol,59,94,"colombian pop, pop reggaeton, reggaeton colombiano, trap latino, urbano latino"
Amarillo,J Balvin,spotify:track:6zEgnpM0qYmHLDnh8WPejL,68,123,"reggaeton, reggaeton colombiano, trap latino, urbano latino"
Una Locura,Ozuna,spotify:track:5y7DaS3jAc9eZzcSOoUIwU,76,168,"puerto rican pop, reggaeton, trap latino, urbano latino"
"Snow Tha Product: Bzrp Music Sessions, Vol. 39",Bizarrap,spotify:track:3ke6it1vTmHtz2ApcIVUz5,8,133,"argentine hip hop, pop venezolano, trap argentino, trap latino, urbano latino"
En Tu Cuerpo - Remix,Lyanno,spotify:track:3dEtfTtCXWW7N8WQ9FD29z,66,156,"puerto rican pop, reggaeton, trap latino, urbano latino"
Se Preparó,Ozuna,spotify:track:1m69ELEgE6k5ZWsap40ozt,79,171,"puerto rican pop, reggaeton, trap latino, urbano latino"
Sola (Remix),Anuel AA,spotify:track:5q2JbCNi4FcnglgPfxcV65,78,170,"reggaeton, reggaeton flow, trap boricua, trap latino, urbano latino"
Girl,Myke Towers,spotify:track:43NqTeL8pgBxKHPMiJKUP5,76,93,"trap boricua, trap latino, trap triste, urbano latino"
"Cuatro Babys (feat. Trap Capos, Noriel, Bryant Myers & Juhn)",Maluma,spotify:track:0JoHqmlqE0W0i9prt6kcHR,72,130,"latin pop, reggaeton, reggaeton colombiano, urbano latino"
Si No Te Quiere,Ozuna,spotify:track:5BHd0eLqg3c58QwyohoYga,62,92,"puerto rican pop, reggaeton, trap latino, urbano latino"
Guaya Guaya,Don Omar,spotify:track:79zvVrn65ksbiGQxrtV4I5,77,92,"latin hip hop, puerto rican pop, reggaeton, trap latino, urbano latino"
De Cora <3,Rauw Alejandro,spotify:track:22Sh5dlwbERqJAq1fZk5b2,63,176,"pop, r&b en espanol"
